species	n_assemblies
Yersinia enterocolitica	5593
Yersinia pestis	3646
Yersinia pseudotuberculosis	371
Yersinia ruckeri	210
Yersinia kristensenii	55
Yersinia intermedia	48
Yersinia mollaretii	37
Yersinia sp.	31
Yersinia frederiksenii	25
Yersinia bercovieri	21
Yersinia alsatica	20
Yersinia proxima	20
Yersinia massiliensis	18
Yersinia aleksiciae	15
Yersinia rochesterensis	14
Yersinia rohdei	13
Yersinia aldovae	11
Yersinia similis	10
Yersinia vastinensis	10
Yersinia artesiana	4
Yersinia thracica	4
Yersinia hibernica	4
Yersinia canariae	3
Yersinia entomophaga	3
Yersinia wautersii	3
Yersinia pekkanenii	3
Yersinia nurmii	2
Yersinia fenwicki	1
