accession	species	isolation_source	host	host_disease	source_type	collected_by	matched_term
GCF_000511675.1	Yersinia pseudotuberculosis						no_information
GCF_001598735.1	Yersinia enterocolitica						no_information
GCF_030294965.1	Yersinia pseudotuberculosis						no_information
GCF_036512675.1	Yersinia pseudotuberculosis	missing				missing	no_information
GCF_946902935.1	Yersinia sp.						no_information
GCA_028844385.1	Yersinia enterocolitica	animal					animal | nan | nan
GCA_028844465.1	Yersinia enterocolitica	animal					animal | nan | nan
GCA_028844345.1	Yersinia enterocolitica	animal					animal | nan | nan
GCA_028844365.1	Yersinia enterocolitica	animal					animal | nan | nan
GCA_028844505.1	Yersinia enterocolitica	animal					animal | nan | nan
GCA_028844325.1	Yersinia enterocolitica	animal					animal | nan | nan
GCA_028844305.1	Yersinia enterocolitica	animal					animal | nan | nan
GCA_028844545.1	Yersinia enterocolitica	animal					animal | nan | nan
GCA_028844525.1	Yersinia enterocolitica	animal					animal | nan | nan
GCA_028844265.1	Yersinia enterocolitica	animal					animal | nan | nan
GCA_028844485.1	Yersinia enterocolitica	animal					animal | nan | nan
GCA_028844205.1	Yersinia enterocolitica	animal					animal | nan | nan
GCA_028844225.1	Yersinia enterocolitica	animal					animal | nan | nan
GCA_028844185.1	Yersinia enterocolitica	animal					animal | nan | nan
GCA_028844165.1	Yersinia enterocolitica	animal					animal | nan | nan
GCA_028844105.1	Yersinia enterocolitica	animal					animal | nan | nan
GCA_028844145.1	Yersinia enterocolitica	animal					animal | nan | nan
GCA_028844125.1	Yersinia enterocolitica	animal					animal | nan | nan
GCA_963519055.1	Yersinia enterocolitica	oral metagenome					oral metagenome | nan | nan
GCF_963515165.1	Yersinia massiliensis	oral metagenome					oral metagenome | nan | nan
GCA_963861545.1	Yersinia enterocolitica						no_information
GCA_963865585.1	Yersinia enterocolitica						no_information
GCA_963868655.1	Yersinia enterocolitica						no_information
GCA_963899145.1	Yersinia enterocolitica						no_information
GCA_963861145.1	Yersinia enterocolitica						no_information
GCA_963860505.1	Yersinia enterocolitica						no_information
GCA_963867135.1	Yersinia enterocolitica						no_information
GCA_963866625.1	Yersinia enterocolitica						no_information
GCA_963865685.1	Yersinia enterocolitica						no_information
GCA_963865525.1	Yersinia enterocolitica						no_information
GCA_963865885.1	Yersinia enterocolitica						no_information
GCA_963865995.1	Yersinia enterocolitica						no_information
GCA_963866205.1	Yersinia enterocolitica						no_information
GCA_963867355.1	Yersinia enterocolitica						no_information
GCA_963867745.1	Yersinia enterocolitica						no_information
GCA_963868875.1	Yersinia enterocolitica						no_information
GCA_963867685.1	Yersinia enterocolitica						no_information
GCA_963867465.1	Yersinia enterocolitica						no_information
GCF_963868735.1	Yersinia pekkanenii						no_information
GCA_963869825.1	Yersinia enterocolitica						no_information
GCA_963870225.1	Yersinia enterocolitica						no_information
GCA_963869715.1	Yersinia enterocolitica						no_information
GCA_963870235.1	Yersinia enterocolitica						no_information
GCA_963869815.1	Yersinia enterocolitica						no_information
GCA_963870285.1	Yersinia enterocolitica						no_information
GCA_963895235.1	Yersinia enterocolitica						no_information
GCA_963897395.1	Yersinia enterocolitica						no_information
GCA_963897675.1	Yersinia enterocolitica						no_information
GCA_963897315.1	Yersinia enterocolitica						no_information
GCA_963897505.1	Yersinia enterocolitica						no_information
GCA_963897535.1	Yersinia enterocolitica						no_information
GCA_963897445.1	Yersinia enterocolitica						no_information
GCA_963897555.1	Yersinia enterocolitica						no_information
GCA_963897275.1	Yersinia enterocolitica						no_information
GCA_963897795.1	Yersinia enterocolitica						no_information
GCF_963900425.1	Yersinia bercovieri						no_information
GCF_963901075.1	Yersinia alsatica						no_information
GCF_963900465.1	Yersinia alsatica						no_information
GCF_963900355.1	Yersinia alsatica						no_information
GCF_963900645.1	Yersinia alsatica						no_information
GCF_963900795.1	Yersinia rochesterensis						no_information
GCF_963901335.1	Yersinia rochesterensis						no_information
GCF_963860205.1	Yersinia kristensenii						no_information
GCA_963861195.1	Yersinia enterocolitica						no_information
GCA_963861605.1	Yersinia enterocolitica						no_information
GCA_963860925.1	Yersinia enterocolitica						no_information
GCA_963860475.1	Yersinia enterocolitica						no_information
GCA_963865325.1	Yersinia enterocolitica						no_information
GCA_963864495.1	Yersinia enterocolitica						no_information
GCA_963864275.1	Yersinia enterocolitica						no_information
GCA_963864555.1	Yersinia enterocolitica						no_information
GCA_963864715.1	Yersinia enterocolitica						no_information
GCA_963864535.1	Yersinia enterocolitica						no_information
GCA_963867235.1	Yersinia enterocolitica						no_information
GCA_963866955.1	Yersinia enterocolitica						no_information
GCA_963866165.1	Yersinia enterocolitica						no_information
GCF_963866405.1	Yersinia kristensenii						no_information
GCA_963866385.1	Yersinia enterocolitica						no_information
GCA_963867065.1	Yersinia enterocolitica						no_information
GCA_963866325.1	Yersinia enterocolitica						no_information
GCA_963866595.1	Yersinia enterocolitica						no_information
GCA_963866945.1	Yersinia enterocolitica						no_information
GCA_963867155.1	Yersinia enterocolitica						no_information
GCF_963865855.1	Yersinia kristensenii						no_information
GCA_963867075.1	Yersinia enterocolitica						no_information
GCA_963865575.1	Yersinia enterocolitica						no_information
GCA_963865635.1	Yersinia enterocolitica						no_information
GCA_963865755.1	Yersinia enterocolitica						no_information
GCA_963865595.1	Yersinia enterocolitica						no_information
GCA_963865495.1	Yersinia enterocolitica						no_information
GCA_963865935.1	Yersinia enterocolitica						no_information
GCF_963865785.1	Yersinia kristensenii						no_information
GCA_963866025.1	Yersinia enterocolitica						no_information
GCA_963866085.1	Yersinia enterocolitica						no_information
GCF_963866045.1	Yersinia kristensenii						no_information
GCA_963866215.1	Yersinia enterocolitica						no_information
GCA_963865865.1	Yersinia enterocolitica						no_information
GCF_963866135.1	Yersinia kristensenii						no_information
GCA_963866185.1	Yersinia enterocolitica						no_information
GCA_963866285.1	Yersinia enterocolitica						no_information
GCA_963866885.1	Yersinia enterocolitica						no_information
GCA_963866235.1	Yersinia enterocolitica						no_information
