Assembly Accession	Assembly Name	Assembly LongName	Assembly Level	Assembly Refseq Category	Assembly BioProject Accession	Organism Taxonomic ID	Organism Name	Assembly BioSample Description Organism Name	ANI Submitted organism	Assembly BioSample Strain	Assembly BioSample Isolate	Assembly BioSample Accession	Assembly BioSample Sample name	Assembly BioSample Host	Assembly BioSample Host disease	Assembly BioSample Isolation source	Assembly BioSample Source type	Assembly BioSample Geographic location	Assembly BioSample Latitude and Longitude	Assembly BioSample Collection date	Assembly BioSample Collected by	Assembly BioSample Identified by	Assembly BioSample Submission date	Assembly BioSample Publication date	Assembly Sequencing Tech	Assembly Assembly Method
GCA_964496225.1	SRP219642_co6_31		Scaffold		PRJEB82487	454005	uncultured Yersinia sp.	uncultured Yersinia sp.	uncultured Yersinia sp.			SAMEA117292725	SRP219642_co6_31			freshwater metagenome		USA		2017-08-16			2024-12-12T08:39:34.816	2024-12-11T00:00:00.000	Illumina HiSeq 2500	metaSPAdes;3.15.4;default
GCF_001091225.1	8016_2#89		Contig		PRJEB2879	29483	Yersinia aldovae	Yersinia aldovae	Yersinia aldovae	IP06005		SAMEA1486457	IP06005-sc-2012-05-10T13:21:29Z-1414801	environmental		water		Czechoslovakia		1900/2008			2012-08-29T09:33:10.363	2012-08-21T00:00:00.000	SLX	Prokka
GCF_001122605.1	8016_2#88		Scaffold		PRJEB2879	29483	Yersinia aldovae	Yersinia aldovae	Yersinia aldovae	IP07632		SAMEA1486374	IP07632-sc-2012-05-10T13:21:28Z-1414800	environmental		water		Norway		1900/2008			2012-08-29T09:33:10.323	2012-08-21T00:00:00.000	SLX	Prokka
GCF_001139945.1	8016_2#90		Contig		PRJEB2879	29483	Yersinia aldovae	Yersinia aldovae	Yersinia aldovae	IP08791		SAMEA1486450	IP08791-sc-2012-05-10T13:21:29Z-1414802	environmental		water		Czechoslovakia		1900/2008			2012-08-29T09:33:10.396	2012-08-21T00:00:00.000	SLX	Prokka
GCF_001164505.1	8016_2#87		Scaffold		PRJEB2879	29483	Yersinia aldovae	Yersinia aldovae	Yersinia aldovae	IP23238		SAMEA1486379	IP23238-sc-2012-05-10T13:21:26Z-1414799	Homo sapiens		not known		France		1900/2008			2012-08-29T09:33:03.196	2012-08-21T00:00:00.000	SLX	Prokka
GCF_902168455.1	IP08619		Contig		PRJEB33414	29483	Yersinia aldovae	Yersinia aldovae	Yersinia aldovae			SAMEA5778673	IP08619										2019-07-19T08:15:27.836	2019-07-18T00:00:00.000	Illumina NextSeq 500	SPAdes
GCF_902168475.1	IP08290		Contig		PRJEB33414	29483	Yersinia aldovae	Yersinia aldovae	Yersinia aldovae			SAMEA5778672	IP08290										2019-07-19T08:15:27.820	2019-07-18T00:00:00.000	Illumina NextSeq 500	SPAdes
GCF_902168495.1	IP08789		Contig		PRJEB33414	29483	Yersinia aldovae	Yersinia aldovae	Yersinia aldovae			SAMEA5778675	IP08789										2019-07-19T08:15:27.883	2019-07-18T00:00:00.000	Illumina NextSeq 500	SPAdes
GCF_902168525.1	IP08631		Contig		PRJEB33414	29483	Yersinia aldovae	Yersinia aldovae	Yersinia aldovae			SAMEA5778674	IP08631										2019-07-19T08:15:27.866	2019-07-18T00:00:00.000	Illumina NextSeq 500	SPAdes
GCF_902168585.1	IP07971		Contig		PRJEB33414	29483	Yersinia aldovae	Yersinia aldovae	Yersinia aldovae			SAMEA5778671	IP07971										2019-07-19T08:15:27.790	2019-07-18T00:00:00.000	Illumina NextSeq 500	SPAdes
GCA_001091225.1	8016_2#89		Contig		PRJEB2879	29483	Yersinia aldovae	Yersinia aldovae	Yersinia aldovae	IP06005		SAMEA1486457	IP06005-sc-2012-05-10T13:21:29Z-1414801	environmental		water		Czechoslovakia		1900/2008			2012-08-29T09:33:10.363	2012-08-21T00:00:00.000	SLX	Prokka
GCA_001122605.1	8016_2#88		Scaffold		PRJEB2879	29483	Yersinia aldovae	Yersinia aldovae	Yersinia aldovae	IP07632		SAMEA1486374	IP07632-sc-2012-05-10T13:21:28Z-1414800	environmental		water		Norway		1900/2008			2012-08-29T09:33:10.323	2012-08-21T00:00:00.000	SLX	Prokka
GCA_001139945.1	8016_2#90		Contig		PRJEB2879	29483	Yersinia aldovae	Yersinia aldovae	Yersinia aldovae	IP08791		SAMEA1486450	IP08791-sc-2012-05-10T13:21:29Z-1414802	environmental		water		Czechoslovakia		1900/2008			2012-08-29T09:33:10.396	2012-08-21T00:00:00.000	SLX	Prokka
GCA_001164505.1	8016_2#87		Scaffold		PRJEB2879	29483	Yersinia aldovae	Yersinia aldovae	Yersinia aldovae	IP23238		SAMEA1486379	IP23238-sc-2012-05-10T13:21:26Z-1414799	Homo sapiens		not known		France		1900/2008			2012-08-29T09:33:03.196	2012-08-21T00:00:00.000	SLX	Prokka
GCA_902168455.1	IP08619		Contig		PRJEB33414	29483	Yersinia aldovae	Yersinia aldovae	Yersinia aldovae			SAMEA5778673	IP08619										2019-07-19T08:15:27.836	2019-07-18T00:00:00.000	Illumina NextSeq 500	SPAdes
GCA_902168475.1	IP08290		Contig		PRJEB33414	29483	Yersinia aldovae	Yersinia aldovae	Yersinia aldovae			SAMEA5778672	IP08290										2019-07-19T08:15:27.820	2019-07-18T00:00:00.000	Illumina NextSeq 500	SPAdes
GCA_902168495.1	IP08789		Contig		PRJEB33414	29483	Yersinia aldovae	Yersinia aldovae	Yersinia aldovae			SAMEA5778675	IP08789										2019-07-19T08:15:27.883	2019-07-18T00:00:00.000	Illumina NextSeq 500	SPAdes
GCA_902168525.1	IP08631		Contig		PRJEB33414	29483	Yersinia aldovae	Yersinia aldovae	Yersinia aldovae			SAMEA5778674	IP08631										2019-07-19T08:15:27.866	2019-07-18T00:00:00.000	Illumina NextSeq 500	SPAdes
GCA_902168585.1	IP07971		Contig		PRJEB33414	29483	Yersinia aldovae	Yersinia aldovae	Yersinia aldovae			SAMEA5778671	IP07971										2019-07-19T08:15:27.790	2019-07-18T00:00:00.000	Illumina NextSeq 500	SPAdes
GCF_000834395.1	ASM83439v1		Complete Genome	reference genome	PRJNA236105	1453495	Yersinia aldovae 670-83	Yersinia aldovae 670-83	Yersinia aldovae 670-83	670-83		SAMN03144720				fish		Norway		Unknown			2014-10-27T12:51:49.053	2014-10-27T00:00:00.000	Illumina; PacBio; 454	Newbler v. 2.6; Velvet v. 1.2.08; Allpaths v. 44837; Phrap v. SPS - 4.24; HGAP v. 2.2.0
GCA_000834395.1	ASM83439v1		Complete Genome	reference genome	PRJNA236105	1453495	Yersinia aldovae 670-83	Yersinia aldovae 670-83	Yersinia aldovae 670-83	670-83		SAMN03144720				fish		Norway		Unknown			2014-10-27T12:51:49.053	2014-10-27T00:00:00.000	Illumina; PacBio; 454	Newbler v. 2.6; Velvet v. 1.2.08; Allpaths v. 44837; Phrap v. SPS - 4.24; HGAP v. 2.2.0
GCF_000173735.1	ASM17373v1		Contig		PRJNA29741	527002	Yersinia aldovae ATCC 35236	Yersinia aldovae ATCC 35236	Yersinia aldovae ATCC 35236	ATCC 35236		SAMN00005136											2009-11-25T15:47:38.660	2009-12-14T00:00:00.000		
GCA_000173735.1	ASM17373v1		Contig		PRJNA29741	527002	Yersinia aldovae ATCC 35236	Yersinia aldovae ATCC 35236	Yersinia aldovae ATCC 35236	ATCC 35236		SAMN00005136											2009-11-25T15:47:38.660	2009-12-14T00:00:00.000		
GCF_001319845.1	4821_6#8		Scaffold	reference genome	PRJEB2117	263819	Yersinia aleksiciae	Yersinia aleksiciae	Yersinia aleksiciae	404/81		SAMEA859928	40481-sc-2010-05-07-40631	Homo sapiens		feces		Finland		1981			2011-02-14T19:07:34.070	2011-02-14T00:00:00.000	SLX	Prokka
GCF_001047675.1	ASM104767v1		Complete Genome		PRJNA288628	263819	Yersinia aleksiciae	Yersinia aleksiciae	Yersinia aleksiciae	159		SAMN03801505		Homo sapiens		feces		Finland		1981			2015-06-30T04:57:09.000	2015-06-30T00:00:00.000	PacBio	Geneious v. 8.1.3
GCF_001115185.1	5139_3#1		Scaffold		PRJEB2117	263819	Yersinia aleksiciae	Yersinia aleksiciae	Yersinia aleksiciae	IP27925		SAMEA859891	IP27925-sc-2010-05-07-40561	environmental		food: ham		France		1900/2008			2011-02-14T19:07:01.746	2011-02-14T00:00:00.000	SLX	Prokka
GCF_011765225.1	ASM1176522v1		Contig		PRJNA269675	263819	Yersinia aleksiciae	Yersinia aleksiciae	Yersinia aleksiciae	SCPM-O-B-8086 (J332)		SAMN14409512		missing				missing		none			2020-03-20T04:13:03.463	2020-03-20T00:00:00.000	Illumina MiSeq	Unicycler v. 0.4.7
GCF_027947155.1	ASM2794715v1		Contig		PRJNA269675	263819	Yersinia aleksiciae	Yersinia aleksiciae	Yersinia aleksiciae	SCPM-O-B-8087 (216)		SAMN31031731		missing		missing		missing		missing			2022-09-27T07:13:03.570	2022-09-27T00:00:00.000	Genolab M	Unicycler v. 0.4.7
GCF_030385075.1	ASM3038507v1		Contig		PRJNA986855	263819	Yersinia aleksiciae	Yersinia aleksiciae	Yersinia aleksiciae	1311 StPb PI		SAMN35877850				fresh cabbage		Russia: Saint Petersburg	59.93863 N 30.31413 E	2007-06-26	Voskresenskaya,E., Bogumilchik,E., Kokorina,G., Panin, A., Muraveva,M., Klimov,V., Afanasev,M., Chesnokova,M.		2023-06-23T11:22:06.496	2023-06-23T00:00:00.000	DNBSEQ-G50	SPAdes v. 3.15.5
GCF_034423815.1	ASM3442381v1		Complete Genome		PRJNA269675	263819	Yersinia aleksiciae	Yersinia aleksiciae	Yersinia aleksiciae	SCPM-O-B-8086		SAMN30493427		missing		missing		missing		missing			2022-08-25T06:06:03.710	2022-08-28T00:00:00.000	Illumina MiSeq; Oxford Nanopore MinION	Flye v. 2.7.1
GCF_055407385.1	ASM5540738v1		Contig		PRJNA1420917	263819	Yersinia aleksiciae	Yersinia aleksiciae	Yersinia aleksiciae	C222		SAMN55282428				ground beef		USA: Colorado		2025	Colorado State University		2026-02-09T16:21:07.193	2026-02-09T00:00:00.000	DNBSEQ-T7	SPAdes v. 4.2.0
GCF_902168445.1	IP28584		Contig		PRJEB33414	263819	Yersinia aleksiciae	Yersinia aleksiciae	Yersinia aleksiciae			SAMEA5778676	IP28584										2019-07-19T08:15:27.900	2019-07-18T00:00:00.000	Illumina NextSeq 500	SPAdes
GCF_902168465.1	IP29443		Contig		PRJEB33414	263819	Yersinia aleksiciae	Yersinia aleksiciae	Yersinia aleksiciae			SAMEA5778680	IP29443										2019-07-19T08:15:27.976	2019-07-18T00:00:00.000	Illumina NextSeq 500	SPAdes
GCF_902168515.1	IP38862		Contig		PRJEB33414	263819	Yersinia aleksiciae	Yersinia aleksiciae	Yersinia aleksiciae			SAMEA5778681	IP38862										2019-07-19T08:15:28.006	2019-07-18T00:00:00.000	Illumina NextSeq 500	SPAdes
GCF_902168595.1	IP28587		Contig		PRJEB33414	263819	Yersinia aleksiciae	Yersinia aleksiciae	Yersinia aleksiciae			SAMEA5778678	IP28587										2019-07-19T08:15:27.960	2019-07-18T00:00:00.000	Illumina NextSeq 500	SPAdes
GCF_902168605.1	IP28585		Contig		PRJEB33414	263819	Yersinia aleksiciae	Yersinia aleksiciae	Yersinia aleksiciae			SAMEA5778677	IP28585										2019-07-19T08:15:27.930	2019-07-18T00:00:00.000	Illumina NextSeq 500	SPAdes
GCF_902387205.1	UHGG_MGYG-HGUT-02458		Scaffold		PRJEB33885	263819	Yersinia aleksiciae	Yersinia aleksiciae	Yersinia aleksiciae			SAMEA5851963	MGYG-HGUT-02458			human gut		Finland					2019-08-07T10:18:25.523	2019-08-06T00:00:00.000	Illumina	Unknown
GCF_963900485.1	ena-yuan-GCF_902168445.1		Contig		PRJEB71012	263819	Yersinia aleksiciae	Yersinia aleksiciae	Yersinia aleksiciae			SAMEA115018960	ena-yuan-GCF_902168445.1					not collected		not collected			2024-03-02T10:04:34.858	2024-02-29T00:00:00.000	not collected	not collected
GCA_001047675.1	ASM104767v1		Complete Genome		PRJNA288628	263819	Yersinia aleksiciae	Yersinia aleksiciae	Yersinia aleksiciae	159		SAMN03801505		Homo sapiens		feces		Finland		1981			2015-06-30T04:57:09.000	2015-06-30T00:00:00.000	PacBio	Geneious v. 8.1.3
GCA_001115185.1	5139_3#1		Scaffold		PRJEB2117	263819	Yersinia aleksiciae	Yersinia aleksiciae	Yersinia aleksiciae	IP27925		SAMEA859891	IP27925-sc-2010-05-07-40561	environmental		food: ham		France		1900/2008			2011-02-14T19:07:01.746	2011-02-14T00:00:00.000	SLX	Prokka
GCA_001319845.1	4821_6#8		Scaffold	reference genome	PRJEB2117	263819	Yersinia aleksiciae	Yersinia aleksiciae	Yersinia aleksiciae	404/81		SAMEA859928	40481-sc-2010-05-07-40631	Homo sapiens		feces		Finland		1981			2011-02-14T19:07:34.070	2011-02-14T00:00:00.000	SLX	Prokka
GCA_011765225.1	ASM1176522v1		Contig		PRJNA269675	263819	Yersinia aleksiciae	Yersinia aleksiciae	Yersinia aleksiciae	SCPM-O-B-8086 (J332)		SAMN14409512		missing				missing		none			2020-03-20T04:13:03.463	2020-03-20T00:00:00.000	Illumina MiSeq	Unicycler v. 0.4.7
GCA_027947155.1	ASM2794715v1		Contig		PRJNA269675	263819	Yersinia aleksiciae	Yersinia aleksiciae	Yersinia aleksiciae	SCPM-O-B-8087 (216)		SAMN31031731		missing		missing		missing		missing			2022-09-27T07:13:03.570	2022-09-27T00:00:00.000	Genolab M	Unicycler v. 0.4.7
GCA_030385075.1	ASM3038507v1		Contig		PRJNA986855	263819	Yersinia aleksiciae	Yersinia aleksiciae	Yersinia aleksiciae	1311 StPb PI		SAMN35877850				fresh cabbage		Russia: Saint Petersburg	59.93863 N 30.31413 E	2007-06-26	Voskresenskaya,E., Bogumilchik,E., Kokorina,G., Panin, A., Muraveva,M., Klimov,V., Afanasev,M., Chesnokova,M.		2023-06-23T11:22:06.496	2023-06-23T00:00:00.000	DNBSEQ-G50	SPAdes v. 3.15.5
GCA_034423815.1	ASM3442381v1		Complete Genome		PRJNA269675	263819	Yersinia aleksiciae	Yersinia aleksiciae	Yersinia aleksiciae	SCPM-O-B-8086		SAMN30493427		missing		missing		missing		missing			2022-08-25T06:06:03.710	2022-08-28T00:00:00.000	Illumina MiSeq; Oxford Nanopore MinION	Flye v. 2.7.1
GCA_055407385.1	ASM5540738v1		Contig		PRJNA1420917	263819	Yersinia aleksiciae	Yersinia aleksiciae	Yersinia aleksiciae	C222		SAMN55282428				ground beef		USA: Colorado		2025	Colorado State University		2026-02-09T16:21:07.193	2026-02-09T00:00:00.000	DNBSEQ-T7	SPAdes v. 4.2.0
GCA_902168445.1	IP28584		Contig		PRJEB33414	263819	Yersinia aleksiciae	Yersinia aleksiciae	Yersinia aleksiciae			SAMEA5778676	IP28584										2019-07-19T08:15:27.900	2019-07-18T00:00:00.000	Illumina NextSeq 500	SPAdes
GCA_902168465.1	IP29443		Contig		PRJEB33414	263819	Yersinia aleksiciae	Yersinia aleksiciae	Yersinia aleksiciae			SAMEA5778680	IP29443										2019-07-19T08:15:27.976	2019-07-18T00:00:00.000	Illumina NextSeq 500	SPAdes
GCA_902168515.1	IP38862		Contig		PRJEB33414	263819	Yersinia aleksiciae	Yersinia aleksiciae	Yersinia aleksiciae			SAMEA5778681	IP38862										2019-07-19T08:15:28.006	2019-07-18T00:00:00.000	Illumina NextSeq 500	SPAdes
GCA_902168595.1	IP28587		Contig		PRJEB33414	263819	Yersinia aleksiciae	Yersinia aleksiciae	Yersinia aleksiciae			SAMEA5778678	IP28587										2019-07-19T08:15:27.960	2019-07-18T00:00:00.000	Illumina NextSeq 500	SPAdes
GCA_902168605.1	IP28585		Contig		PRJEB33414	263819	Yersinia aleksiciae	Yersinia aleksiciae	Yersinia aleksiciae			SAMEA5778677	IP28585										2019-07-19T08:15:27.930	2019-07-18T00:00:00.000	Illumina NextSeq 500	SPAdes
GCA_902387205.1	UHGG_MGYG-HGUT-02458		Scaffold		PRJEB33885	263819	Yersinia aleksiciae	Yersinia aleksiciae	Yersinia aleksiciae			SAMEA5851963	MGYG-HGUT-02458			human gut		Finland					2019-08-07T10:18:25.523	2019-08-06T00:00:00.000	Illumina	Unknown
GCA_963900485.1	ena-yuan-GCF_902168445.1		Contig		PRJEB71012	263819	Yersinia aleksiciae	Yersinia aleksiciae	Yersinia aleksiciae			SAMEA115018960	ena-yuan-GCF_902168445.1					not collected		not collected			2024-03-02T10:04:34.858	2024-02-29T00:00:00.000	not collected	not collected
GCF_025133195.1	ASM2513319v1		Complete Genome	reference genome	PRJNA269675	2890317	Yersinia alsatica	Yersinia alsatica	Yersinia alsatica	SCPM-O-B-7604		SAMN30493426		missing		missing		missing		missing			2022-08-25T06:06:03.653	2022-08-25T00:00:00.000	Oxford Nanopore MinION; MGISeq-2000	Unicycler v. v 0.4.7
GCF_040226015.1	ASM4022601v1		Contig		PRJNA1087294	2890317	Yersinia alsatica	Yersinia alsatica	Yersinia alsatica	N21-2545		SAMN41576953		Homo sapiens	unknown	stool or blood		Switzerland:Zurich	47.24 N 8.33 E	2021	NENT		2024-05-29T03:16:05.960	2024-05-30T00:00:00.000	Illumina MiniSeq	SPAdes v. 13.3
