Trait	best_fisher_p	best_fisher_q	best_empirical_p	best_fq*ep
region_South_America	9.096925048733372e-21	1.1462125561404049e-17	0.9740518962075848	1.1164705137655041e-17
host_pig	1.3127626861969132e-24	1.6540809846081107e-21	0.01996007984031936	3.301558851513195e-23
era_era_2015_19	1.893386902501137e-27	2.385667497151433e-24	0.8223552894211577	1.9618662850826154e-24
host_marmot	5.6403207223751734e-33	7.106804110192719e-30	0.9880239520958084	7.021692683723345e-30
complete_genome	1.1292296108458007e-76	1.422829309665709e-73	0.9840319361277445	1.4001094803696499e-73
region_Oceania	1.3258725882875672e-98	1.6705994612423346e-95	0.1497005988023952	2.500897397069363e-96
host_rodent	2.0195064448933434e-121	2.544578120565613e-118	0.08383233532934131	2.1331792627496156e-119
era_era_2000s	1.4324600700914523e-140	1.80489968831523e-137	1.0	1.80489968831523e-137
niche_F	3.305204374932456e-151	4.164557512414895e-148	0.8243512974051896	3.433058388477748e-148
region_North_America	3.689313456680011e-263	4.648534955416815e-260	0.654690618762475	3.0433522263008285e-260
host_fish	5.277905784691199e-305	6.650161288710911e-302	0.001996007984031936	1.3273775027367086e-304
region_Asia_Central	0.0	0.0	0.7724550898203593	0.0
host_human	0.0	0.0	0.499001996007984	0.0
niche_A	0.0	0.0	0.7644710578842315	0.0
region_Europe	0.0	0.0	0.4590818363273453	0.0
era_pre2000	0.0	0.0	0.12375249500998003	0.0
era_era_2020plus	0.0	0.0	0.40119760479041916	0.0
niche_H	0.0	0.0	0.7425149700598802	0.0
