Gene	g+t+	g+t-	g-t+	g-t-	sensitivity	specificity	odds_ratio	fisher_p	fisher_q	empirical_p	fq*ep	contrasting	supporting	opposing	best	worst
blaA	525	4894	189	4349	73.52941176470588	47.051823001190094	2.4684420832765746	1.893386902501137e-27	2.385667497151433e-24	0.8223552894211577	1.9618662850826154e-24	7	7	3	0.015625	1.0
vat(F)	510	4776	204	4467	71.42857142857143	48.328464784160985	2.338253768844221	4.285870152111882e-25	5.400196391660971e-22	0.8363273453093812	4.51633191238712e-22	7	5	4	0.453125	1.0
sul2	36	63	678	9180	5.042016806722689	99.31840311587146	7.737041719342605	4.5231529578416905e-17	5.69917272688053e-14	0.05788423153692615	3.298922336916874e-15	8	6	6	0.2890625	0.2890625
sul1	29	67	685	9176	4.061624649859944	99.2751271232284	5.798104368667611	1.142205086242463e-11	1.4391784086655034e-08	0.25349301397205587	3.6482167245612558e-09	7	4	4	1.0	1.0
qacEdelta1	29	67	685	9176	4.061624649859944	99.2751271232284	5.798104368667611	1.142205086242463e-11	1.4391784086655034e-08	0.2714570858283433	3.906751768034101e-09	5	3	3	1.0	1.0
tet(A)	27	74	687	9169	3.7815126050420167	99.199394136103	4.86964475392423	1.255973717626453e-09	1.5825268842093308e-06	0.05588822355289421	8.844461628315621e-08	12	8	5	0.3876953125	0.7744140625
floR	15	22	699	9221	2.100840336134454	99.76198204046304	8.99434256730394	1.2451122155544516e-08	1.568841391598609e-05	0.08782435129740519	1.3778247750566626e-06	6	4	4	0.6875	0.6875
dfrA1	15	23	699	9220	2.100840336134454	99.75116304230228	8.60235118492256	1.9221648453939e-08	2.4219277051963138e-05	0.11177644710578842	2.707144740339193e-06	4	3	3	0.625	0.625
aadA12	21	49	693	9194	2.941176470588235	99.46986909012226	5.685837971552258	9.320282858695836e-09	1.1743556401956754e-05	0.3313373253493014	3.891078568313016e-06	2	2	1	0.5	1.0
aph(3'')-Ib	22	53	692	9190	3.081232492997199	99.42659309747916	5.512596793543461	6.5901829840789655e-09	8.303630559939495e-06	0.47904191616766467	3.977787094581794e-06	3	3	2	0.25	1.0
catA1	22	52	692	9191	3.081232492997199	99.43741209563994	5.619219653179191	4.9883303301382495e-09	6.285296215974195e-06	0.8043912175648703	5.055837075923355e-06	5	3	4	0.375	1.0
aph(6)-Id	22	55	692	9188	3.081232492997199	99.40495510115764	5.310982658959538	1.1317943203233556e-08	1.4260608436074283e-05	0.5548902195608783	7.913072146164972e-06	2	2	2	0.5	0.5
aadA1	20	48	694	9195	2.801120448179272	99.48068808828302	5.520533141210374	3.058866185387613e-08	3.8541713935883925e-05	0.21357285429141717	8.23146385457002e-06	8	5	7	0.0703125	0.7265625
sat2	14	22	700	9221	1.96078431372549	99.76198204046304	8.382727272727273	7.209449204646392e-08	9.083905997854453e-05	0.8682634730538922	7.88722377059219e-05	4	1	4	0.125	0.625
blaYRC	34	182	680	9061	4.761904761904762	98.0309423347398	2.4892857142857143	1.2087023678126272e-05	0.015229649834439103	0.9221556886227545	0.01404410823056061	3	2	3	0.25	1.0
