Gene	g+t+	g+t-	g-t+	g-t-	sensitivity	specificity	odds_ratio	fisher_p	fisher_q	empirical_p	fq*ep	contrasting	supporting	opposing	best	worst
vat(F)	113	5173	2521	2150	95.709946848899	70.64044790386454	0.0186295163157986	0.0	0.0	0.12375249500998003	0.0	7	4	6	0.125	1.0
blaA	122	5297	2512	2026	95.36826119969628	72.33374300150211	0.0185758914131181	0.0	0.0	0.01996007984031936	0.0	6	4	6	0.03125	0.6875
tet(A)	3	98	2631	7225	99.88610478359908	1.3382493513587328	0.0840644125381053	3.9668362882629617e-10	4.998213723211333e-07	0.4471057884231537	2.2347302874238293e-07	7	3	5	0.453125	1.0
sul2	3	96	2631	7227	99.88610478359908	1.3109381401065137	0.0858395096921322	6.236557343775775e-10	7.858062253157478e-07	0.6007984031936128	4.721111253893016e-07	8	3	6	0.2890625	0.7265625
qacEdelta1	3	93	2631	7230	99.88610478359908	1.269971323228185	0.0886453084194651	1.5398527218094726e-09	1.940214429479936e-06	0.25149700598802394	4.879581199889659e-07	4	3	2	0.625	1.0
aadA12	0	70	2634	7253	100.0	0.9558923938276664	0.0	5.748757634866102e-10	7.243434619931291e-07	0.7085828343313373	5.132573433284646e-07	1	0	1	1.0	1.0
sul1	3	93	2631	7230	99.88610478359908	1.269971323228185	0.0886453084194651	1.5398527218094726e-09	1.940214429479936e-06	0.4411177644710579	8.558630517266783e-07	5	3	3	1.0	1.0
catA1	1	73	2633	7250	99.96203492786636	0.9968592107059948	0.0377193575743071	5.4075700187246325e-09	6.813538223593037e-06	0.7584830339321357	5.167953143643421e-06	3	1	2	1.0	1.0
aadA1	2	66	2632	7257	99.92406985573272	0.9012699713232282	0.0835520862116606	5.021184520245467e-07	0.000632669249550929	0.21956087824351297	0.00013890941606906624	6	2	5	0.21875	0.6875
aph(6)-Id	3	74	2631	7249	99.88610478359908	1.0105148163321045	0.1116983574224167	3.348407169427173e-07	0.0004218993033478237	0.8862275449101796	0.0003738987838052569	2	2	2	0.5	0.5
aph(3'')-Ib	3	72	2631	7251	99.88610478359908	0.9832036050798854	0.1148327632079057	5.131959085145127e-07	0.000646626844728286	0.8083832335329342	0.0005227222996306504	2	2	2	0.5	0.5
tet(C)	0	46	2634	7277	100.0	0.6281578588010378	0.0	8.966289522329743e-07	0.0011297524798135475	0.9141716566866267	0.0010327876961169755	3	0	3	0.25	0.25
floR	0	37	2634	7286	100.0	0.5052574081660521	0.0	1.6469091740856615e-05	0.020751055593479336	0.30538922155688625	0.006337148714176325	3	0	3	0.25	0.25
dfrA1	0	38	2634	7285	100.0	0.5189130137921617	0.0	1.8148668473802736e-05	0.022867322276991446	0.437125748502994	0.009995895366589075	2	0	2	0.5	0.5
sat2	0	36	2634	7287	100.0	0.4916018025399427	0.0	2.7742941625715683e-05	0.03495610644840176	0.562874251497006	0.019675892252393804	4	0	4	0.125	0.125
