Gene	g+t+	g+t-	g-t+	g-t-	sensitivity	specificity	odds_ratio	fisher_p	fisher_q	empirical_p	fq*ep	contrasting	supporting	opposing	best	worst
vat(F)	146	5140	16	4655	90.12345679012346	47.524247064829	8.26398346303502	1.3127626861969132e-24	1.6540809846081107e-21	0.01996007984031936	3.301558851513195e-23	7	6	3	0.125	1.0
blaA	149	5270	13	4525	91.9753086419753	46.19703930576825	9.841264049043936	4.998145484919292e-26	6.297663310998308e-23	0.7085828343313373	4.462416118571655e-23	6	6	2	0.03125	0.6875
aadA1	18	50	144	9745	11.11111111111111	99.48953547728432	24.3625	1.5500851030979342e-17	1.9531072299033973e-14	0.05588822355289421	1.0915569348761501e-15	6	4	4	0.6875	0.6875
sat2	12	24	150	9771	7.4074074074074066	99.75497702909648	32.57	2.0397798262126318e-13	2.570122581027916e-10	0.9441117764471058	2.426482995661086e-10	4	1	4	0.125	0.625
dfrA1	12	26	150	9769	7.4074074074074066	99.73455844818784	30.05846153846154	4.290174925335994e-13	5.405620405923352e-10	0.8063872255489022	4.359023241503062e-10	2	1	2	0.5	1.0
aadA12	12	58	150	9737	7.4074074074074066	99.40786115364982	13.430344827586207	1.0762500897192134e-09	1.3560751130462089e-06	0.5389221556886228	7.308189231985557e-07	1	1	1	1.0	1.0
sul1	13	83	149	9712	8.024691358024691	99.152628892292	10.209104875879357	4.338013744514415e-09	5.465897318088163e-06	0.2654690618762475	1.451026633344762e-06	6	2	5	0.21875	0.6875
catA1	12	62	150	9733	7.4074074074074066	99.36702399183255	12.558709677419357	2.098804100018759e-09	2.6444931660236363e-06	0.7465069860279441	1.9741326229398003e-06	3	1	3	0.25	1.0
aph(6)-Id	12	65	150	9730	7.4074074074074066	99.33639612046964	11.975384615384616	3.370018525428193e-09	4.246223342039524e-06	0.9281437125748503	3.941105497102552e-06	2	1	2	0.5	1.0
floR	9	28	153	9767	5.555555555555555	99.71413986727924	20.51890756302521	5.385979963776061e-09	6.786334754357837e-06	0.626746506986028	4.253311602531658e-06	4	1	4	0.125	0.625
qacEdelta1	13	83	149	9712	8.024691358024691	99.152628892292	10.209104875879357	4.338013744514415e-09	5.465897318088163e-06	0.8363273453093812	4.57127939377034e-06	4	2	4	0.125	1.0
sul2	13	86	149	9709	8.024691358024691	99.12200102092903	9.849929764320274	6.3745370830218455e-09	8.031916724607524e-06	0.7365269461077845	5.915723096567218e-06	10	4	7	0.34375	0.75390625
tet(A)	13	88	149	9707	8.024691358024691	99.10158244002042	9.62408480780964	8.176776108636205e-09	1.0302737896881619e-05	0.8662674650698603	8.924926641210823e-06	9	4	6	0.5078125	1.0
aph(3'')-Ib	11	64	151	9731	6.790123456790123	99.34660541092394	11.076262417218542	3.002968549451735e-08	3.783740372309186e-05	0.3333333333333333	1.2612467907697286e-05	3	2	3	0.25	1.0
