__contingency_table__	fisher_p	odds_ratio	Gene	g+t+	g+t-	g-t+	g-t-	__pattern_id__	sensitivity	specificity
(62, 5357, 29, 4509)	0.008175845417929074	1.7995017798175768	blaA	62	5357	29	4509	59	68.13186813186813	45.702412325157105
(60, 5226, 31, 4640)	0.014958162010102386	1.7184548720417763	vat(F)	60	5226	31	4640	58	65.93406593406593	47.03020474356375
(5, 211, 86, 9655)	0.04758774287881967	2.6603659208641024	blaYRC	5	211	86	9655	57	5.4945054945054945	97.86134198256639
(0, 23, 91, 9843)	0.9999999999700413	0.0	aac(6')	0	23	91	9843	30	100.0	0.23312385972025138
(0, 10, 91, 9856)	0.9999999999754459	0.0	estX/sat2	0	10	91	9856	42	100.0	0.10135819987837015
(0, 6, 91, 9860)	0.9999999999809219	0.0	cmlA1	0	6	91	9860	37	100.0	0.0608149199270221
(0, 6, 91, 9860)	0.9999999999809219	0.0	qnrB19	0	6	91	9860	6	100.0	0.0608149199270221
(0, 9, 91, 9857)	0.999999999982327	0.0	aadA2	0	9	91	9857	39	100.0	0.09122237989053314
(0, 9, 91, 9857)	0.999999999982327	0.0	blaTEM	0	9	91	9857	19	100.0	0.09122237989053314
(0, 4, 91, 9862)	0.9999999999851501	0.0	aac(3)-IVa	0	4	91	9862	23	100.0	0.040543279951348064
(0, 4, 91, 9862)	0.9999999999851501	0.0	aadA5	0	4	91	9862	41	100.0	0.040543279951348064
(0, 4, 91, 9862)	0.9999999999851501	0.0	aph(4)-Ia	0	4	91	9862	23	100.0	0.040543279951348064
(0, 4, 91, 9862)	0.9999999999851501	0.0	blaYEM-1	0	4	91	9862	18	100.0	0.040543279951348064
(0, 4, 91, 9862)	0.9999999999851501	0.0	dfrA17	0	4	91	9862	41	100.0	0.040543279951348064
(0, 4, 91, 9862)	0.9999999999851501	0.0	qnrD1	0	4	91	9862	29	100.0	0.040543279951348064
(0, 77, 91, 9789)	0.9999999999860779	0.0	aph(6)-Id	0	77	91	9789	48	100.0	0.7804581390634503
(0, 3, 91, 9863)	0.9999999999883892	0.0	aac(6')-Il	0	3	91	9863	11	100.0	0.03040745996351105
(0, 3, 91, 9863)	0.9999999999883892	0.0	aadA22	0	3	91	9863	32	100.0	0.03040745996351105
(0, 3, 91, 9863)	0.9999999999883892	0.0	blaCMY-2	0	3	91	9863	11	100.0	0.03040745996351105
(0, 3, 91, 9863)	0.9999999999883892	0.0	catB2	0	3	91	9863	17	100.0	0.03040745996351105
(0, 3, 91, 9863)	0.9999999999883892	0.0	dfrB1	0	3	91	9863	28	100.0	0.03040745996351105
(0, 3, 91, 9863)	0.9999999999883892	0.0	mph(A)	0	3	91	9863	11	100.0	0.03040745996351105
(0, 3, 91, 9863)	0.9999999999883892	0.0	mrx(A)	0	3	91	9863	11	100.0	0.03040745996351105
(0, 3, 91, 9863)	0.9999999999883892	0.0	tet(Y)	0	3	91	9863	13	100.0	0.03040745996351105
(0, 21, 91, 9845)	0.9999999999895706	0.0	dfrA14	0	21	91	9845	34	100.0	0.21285221974457733
(0, 36, 91, 9830)	0.9999999999897081	0.0	sat2	0	36	91	9830	31	100.0	0.36488951956213256
(0, 75, 91, 9791)	0.9999999999900535	0.0	aph(3'')-Ib	0	75	91	9791	47	100.0	0.7601864990877761
(0, 16, 91, 9850)	0.9999999999921938	0.0	blaYEM	0	16	91	9850	20	100.0	0.16217311980539226
(0, 96, 91, 9770)	0.9999999999948254	0.0	qacEdelta1	0	96	91	9770	54	100.0	0.9730387188323536
(0, 96, 91, 9770)	0.9999999999948254	0.0	sul1	0	96	91	9770	51	100.0	0.9730387188323536
(0, 74, 91, 9792)	0.9999999999949721	0.0	catA1	0	74	91	9792	53	100.0	0.7500506790999392
(0, 99, 91, 9767)	0.999999999996243	0.0	sul2	0	99	91	9767	49	100.0	1.0034461787958646
(0, 30, 91, 9836)	0.9999999999962493	0.0	qacK	0	30	91	9836	46	100.0	0.3040745996351105
