isolate	binary
GCF_000511675.1	False
GCF_001598735.1	False
GCF_030294965.1	False
GCA_029890075.1	False
GCA_050445005.1	False
GCA_050442745.1	False
GCA_050442725.1	False
GCA_050469845.1	False
GCA_050442705.1	False
GCA_050446075.1	False
GCA_050442685.1	False
GCA_050469765.1	False
GCA_050508795.1	False
GCA_050442665.1	False
GCA_050440805.1	False
GCA_050442645.1	False
GCA_050440385.1	False
GCA_050469715.1	False
GCA_050439505.1	False
GCA_050442605.1	False
GCA_050444985.1	False
GCA_050442625.1	False
GCA_050469675.1	False
GCA_050440365.1	False
GCA_050440345.1	False
GCA_050442585.1	False
GCA_050440325.1	False
GCA_050444965.1	False
GCA_050442565.1	False
GCA_050442545.1	False
GCA_050469625.1	False
GCA_050442525.1	False
GCA_050440305.1	False
GCA_050440285.1	False
GCA_050469525.1	False
GCA_050440265.1	False
GCA_050469505.1	False
GCA_050439485.1	False
GCA_050469425.1	False
GCA_050439465.1	False
GCA_050440245.1	False
GCA_050442485.1	False
GCA_050442465.1	False
GCA_050444905.1	False
GCA_050442445.1	False
GCA_050469415.1	False
GCA_050442425.1	False
GCA_050469385.1	False
GCA_050469245.1	False
GCA_050439445.1	False
GCA_050469165.1	False
GCA_050442405.1	False
GCA_050443065.1	False
GCA_050469185.1	False
GCF_036512675.1	False
GCF_045865125.1	False
GCF_045865135.1	False
GCF_045865145.1	False
GCF_045865155.1	False
GCF_045865165.1	False
GCF_045865175.1	False
GCF_045865185.1	False
GCF_900169255.1	False
GCF_900169285.1	False
GCF_900169225.1	False
GCF_900169245.1	False
GCA_900460665.1	False
GCF_900460645.1	True
GCF_900460735.1	True
GCF_900460545.1	False
GCF_900460465.1	True
GCA_033786315.1	True
GCA_033787505.1	True
GCA_033787845.1	True
GCA_033816515.1	True
GCA_033786305.1	True
GCF_946902935.1	False
GCA_028834205.1	False
GCA_028844385.1	False
GCA_028844465.1	False
GCA_028844345.1	False
GCA_028844365.1	False
GCA_028844505.1	False
GCA_028844325.1	False
GCA_028844305.1	False
GCA_028844545.1	False
GCA_028844525.1	False
GCA_028844265.1	False
GCA_028844485.1	False
GCA_028844245.1	True
GCA_028844285.1	True
GCA_028844205.1	False
GCA_028844225.1	False
GCA_028844185.1	False
GCA_028844165.1	False
GCA_028844105.1	False
GCA_028844145.1	False
GCA_028844125.1	False
GCA_028844065.1	True
GCA_028844005.1	True
GCA_028844015.1	True
GCA_028844035.1	True
GCA_028844085.1	True
GCA_028843985.1	True
GCA_028843965.1	True
GCA_028843945.1	True
GCA_028843925.1	True
GCA_028843905.1	True
GCA_028843885.1	True
GCA_028843805.1	True
