Gene	g+t+	g+t-	g-t+	g-t-	sensitivity	specificity	odds_ratio	fisher_p	fisher_q	empirical_p	fq*ep	contrasting	supporting	opposing	best	worst
vat(F)	168	5118	3297	1374	95.15151515151516	78.8354898336414	0.0136797066927516	0.0	0.0	0.7724550898203593	0.0	7	5	4	0.453125	1.0
blaA	173	5246	3292	1246	95.007215007215	80.8071472581639	0.0124817658909478	0.0	0.0	0.718562874251497	0.0	7	6	3	0.125	1.0
blaYRC	6	210	3459	6282	99.82683982683984	3.234750462107209	0.0518894808573906	1.532245912271867e-31	1.9306298494625526e-28	0.6746506986027944	1.3025007766833188e-28	3	1	3	0.25	1.0
catA1	0	74	3465	6418	100.0	1.139864448552064	0.0	3.2701208305051085e-14	4.120352246436436e-11	0.2215568862275449	9.128924138811265e-12	3	0	3	0.25	0.25
sul1	3	93	3462	6399	99.91341991341992	1.432532347504621	0.0596243081567618	5.047607801859003e-14	6.359985830342342e-11	0.21756487025948104	1.3837094920305695e-11	5	1	4	0.375	0.375
qacEdelta1	3	93	3462	6399	99.91341991341992	1.432532347504621	0.0596243081567618	5.047607801859003e-14	6.359985830342342e-11	0.5409181636726547	3.4402318563328834e-11	4	1	3	0.625	0.625
aadA12	0	70	3465	6422	100.0	1.0782501540357363	0.0	1.556918679024954e-13	1.961717535571442e-10	0.6447105788423154	1.2647400478833847e-10	1	0	1	1.0	1.0
aadA1	2	66	3463	6426	99.94227994227994	1.0166358595194085	0.0562308035597091	2.1775941563787191e-10	2.7437686370371863e-07	0.780439121756487	2.141344385392295e-07	6	2	4	0.6875	0.6875
tet(C)	0	46	3465	6446	100.0	0.7085643869377696	0.0	4.596399681591492e-09	5.79146359880528e-06	0.8423153692614771	4.878238799792072e-06	3	0	3	0.25	0.25
dfrA1	0	38	3465	6454	100.0	0.5853357979051139	0.0	1.1484587302832788e-07	0.00014470580001569311	0.41317365269461076	5.978862395857979e-05	2	0	2	0.5	0.5
sat2	0	36	3465	6456	100.0	0.5545286506469501	0.0	3.586638891724238e-07	0.0004519165003572539	0.4291417165668663	0.00019393622270820279	4	0	4	0.125	0.125
qacK	0	30	3465	6462	100.0	0.4621072088724584	0.0	3.1127463204473263e-06	0.003922060363763631	1.0	0.003922060363763631	1	0	1	1.0	1.0
