__contingency_table__	fisher_p	odds_ratio	Gene	g+t+	g+t-	g-t+	g-t-	__pattern_id__	sensitivity	specificity
(55, 5364, 18, 4520)	0.0003349120171793089	2.5747783577761205	blaA	55	5364	18	4520	59	75.34246575342466	45.73047349251315
(54, 5232, 19, 4652)	0.00034727742196719654	2.5270400772573636	vat(F)	54	5232	19	4652	58	73.97260273972603	47.06596519627681
(2, 7, 71, 9877)	0.001846197334839065	39.74647887323944	blaTEM	2	7	71	9877	56	2.73972602739726	99.92917847025495
(1, 45, 72, 9839)	0.287704627676226	3.0367283950617283	tet(C)	1	45	72	9839	57	1.36986301369863	99.54471873735329
(0, 216, 73, 9668)	0.4113045132826286	0.0	blaYRC	0	216	73	9668	29	100.0	2.185350060704168
(0, 38, 73, 9846)	0.9999999999775365	0.0	dfrA1	0	38	73	9846	33	100.0	0.38445973290165925
(0, 21, 73, 9863)	0.9999999999809877	0.0	dfrA14	0	21	73	9863	34	100.0	0.2124645892351275
(0, 4, 73, 9880)	0.999999999984235	0.0	aac(3)-IVa	0	4	73	9880	22	100.0	0.04046944556859571
(0, 4, 73, 9880)	0.999999999984235	0.0	aadA5	0	4	73	9880	41	100.0	0.04046944556859571
(0, 4, 73, 9880)	0.999999999984235	0.0	aph(4)-Ia	0	4	73	9880	22	100.0	0.04046944556859571
(0, 4, 73, 9880)	0.999999999984235	0.0	blaYEM-1	0	4	73	9880	18	100.0	0.04046944556859571
(0, 4, 73, 9880)	0.999999999984235	0.0	dfrA17	0	4	73	9880	41	100.0	0.04046944556859571
(0, 4, 73, 9880)	0.999999999984235	0.0	qnrD1	0	4	73	9880	28	100.0	0.04046944556859571
(0, 6, 73, 9878)	0.9999999999861302	0.0	cmlA1	0	6	73	9878	37	100.0	0.06070416835289356
(0, 6, 73, 9878)	0.9999999999861302	0.0	qnrB19	0	6	73	9878	6	100.0	0.06070416835289356
(0, 70, 73, 9814)	0.999999999988763	0.0	aadA12	0	70	73	9814	52	100.0	0.708215297450425
(0, 5, 73, 9879)	0.9999999999894463	0.0	aph(3')-Ia	0	5	73	9879	15	100.0	0.050586806960744635
(0, 5, 73, 9879)	0.9999999999894463	0.0	blaTEM-1	0	5	73	9879	25	100.0	0.050586806960744635
(0, 5, 73, 9879)	0.9999999999894463	0.0	estX-3	0	5	73	9879	36	100.0	0.050586806960744635
(0, 5, 73, 9879)	0.9999999999894463	0.0	mef(B)	0	5	73	9879	35	100.0	0.050586806960744635
(0, 5, 73, 9879)	0.9999999999894463	0.0	qacE	0	5	73	9879	50	100.0	0.050586806960744635
(0, 5, 73, 9879)	0.9999999999894463	0.0	qacL	0	5	73	9879	36	100.0	0.050586806960744635
(0, 5, 73, 9879)	0.9999999999894463	0.0	tet(H)	0	5	73	9879	24	100.0	0.050586806960744635
(0, 2, 73, 9882)	0.9999999999901554	0.0	aadA13	0	2	73	9882	26	100.0	0.020234722784297856
(0, 2, 73, 9882)	0.9999999999901554	0.0	aadA25	0	2	73	9882	21	100.0	0.020234722784297856
(0, 2, 73, 9882)	0.9999999999901554	0.0	aadA31	0	2	73	9882	23	100.0	0.020234722784297856
(0, 2, 73, 9882)	0.9999999999901554	0.0	dfrA12	0	2	73	9882	9	100.0	0.020234722784297856
