Gene	g+t+	g+t-	g-t+	g-t-	sensitivity	specificity	odds_ratio	fisher_p	fisher_q	empirical_p	fq*ep	contrasting	supporting	opposing	best	worst	trait	__contingency_table__	__pattern_id__
blaA	45	5374	356	4182	88.7780548628429	56.236919213059856	0.0983668767222958	1.1292296108458007e-76	1.422829309665709e-73	0.9840319361277444	1.40010948036965e-73	4.0	3.0	3.0	0.625	0.625	complete_genome		
vat(F)	44	5242	357	4314	89.02743142144638	54.85558811218083	0.1014302706966037	1.6042314625691427e-73	2.0213316428371198e-70	0.1297405189620758	2.6224861633615325e-71	5.0	2.0	3.0	1.0	1.0	complete_genome		
blaYRC	45	171	356	9385	11.221945137157109	98.21054834658854	6.937463039621526	2.038601000775429e-20	2.568637260977041e-17	0.9461077844311376	2.4302077079902538e-17	2.0	1.0	2.0	0.5	1.0	complete_genome		
blaA	174	5245	819	3719	82.4773413897281	58.51182507809014	0.1506419859136732	1.4324600700914523e-140	1.80489968831523e-137	1.0	1.80489968831523e-137	6.0	4.0	3.0	0.6875	1.0	era_era_2000s		
vat(F)	174	5112	819	3852	82.4773413897281	57.0281124497992	0.1600887375535263	4.4815596892329944e-131	5.646765208433572e-128	0.8822355289421158	4.981776890474329e-128	7.0	5.0	3.0	0.453125	1.0	era_era_2000s		
blaYRC	43	173	950	8791	4.33031218529708	98.07005800981705	2.3000486766048067	8.713145132882545e-06	0.010978562867432	0.8902195608782435	0.0097733314149195	3.0	1.0	3.0	0.25	1.0	era_era_2000s		
blaYRC	17	199	249	9492	6.390977443609022	97.94654834382416	3.256523581764243	6.571620839515185e-05									era_era_2010_14	(17, 199, 249, 9492)	51.0
aadA12	9	61	257	9630	3.3834586466165413	99.37054999484056	5.528481214518084	9.463237514319106e-05									era_era_2010_14	(9, 61, 257, 9630)	54.0
catA1	9	65	257	9626	3.3834586466165413	99.32927458466618	5.186111942532176	0.0001465414262772									era_era_2010_14	(9, 65, 257, 9626)	55.0
qacEdelta1	9	87	257	9604	3.3834586466165413	99.10225982870703	3.8658258419428417	0.0010322068255553									era_era_2010_14	(9, 87, 257, 9604)	56.0
sul1	8	88	258	9603	3.007518796992481	99.09194097616346	3.383720930232558	0.0040731866432016									era_era_2010_14	(8, 88, 258, 9603)	53.0
vat(F)	164	5122	102	4569	61.65413533834586	47.14683727169538	1.4342513264579553	0.0049964934792073									era_era_2010_14	(164, 5122, 102, 4569)	58.0
