Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
GCA_028830465.1	100.0	1.44	Neural Network (Specific Model)	11	0.851	86436	308.4551374819103	4500255	0.47	4146	108	219754	None
GCA_028831475.1	100.0	2.72	Neural Network (Specific Model)	11	0.852	55538	308.7406962785114	4520743	0.47	4165	160	215353	None
GCA_028831555.1	100.0	1.86	Neural Network (Specific Model)	11	0.852	58584	308.86614936954413	4477987	0.47	4124	149	218245	None
GCA_028833505.1	100.0	0.54	Neural Network (Specific Model)	11	0.869	150405	310.6137168141593	4836806	0.47	4520	84	556982	None
GCA_028833565.1	100.0	3.84	Neural Network (Specific Model)	11	0.867	207909	316.34833483348336	4859491	0.47	4444	58	583053	None
GCA_028835785.1	100.0	5.36	Neural Network (Specific Model)	11	0.867	204860	322.5219020847974	4757102	0.47	4269	46	355199	None
GCA_028836165.1	100.0	1.21	Neural Network (Specific Model)	11	0.853	56712	310.8991304347826	4392450	0.47	4025	157	138563	None
GCA_028837905.1	100.0	2.25	Neural Network (Specific Model)	11	0.852	72882	309.22362467254106	4565444	0.47	4199	110	219610	None
GCA_028837985.1	100.0	4.23	Neural Network (Specific Model)	11	0.867	300887	317.94086995922066	4847329	0.47	4414	44	686846	None
GCA_028838325.1	100.0	7.89	Neural Network (Specific Model)	11	0.867	470778	317.64155100242345	4980875	0.47	4539	22	896274	None
GCA_028840765.1	100.0	5.14	Neural Network (Specific Model)	11	0.868	274379	316.69566204860325	4809834	0.47	4403	38	716275	None
GCA_028842085.1	100.0	2.15	Neural Network (Specific Model)	11	0.857	123700	315.71748016350085	4588895	0.47	4159	79	471805	None
GCA_028842125.1	100.0	2.34	Neural Network (Specific Model)	11	0.868	318499	322.6495044718395	4608854	0.47	4137	39	681410	None
GCA_028842145.1	100.0	2.75	Neural Network (Specific Model)	11	0.857	93217	316.89222572051347	4570985	0.47	4129	86	261548	None
GCA_028842245.1	100.0	2.65	Neural Network (Specific Model)	11	0.867	517614	319.8686674669868	4605446	0.47	4165	22	1267381	None
GCA_028843445.1	100.0	0.31	Neural Network (Specific Model)	11	0.866	191422	318.6709722874589	4692549	0.47	4258	52	382319	None
GCA_028843945.1	100.0	0.4	Neural Network (Specific Model)	11	0.869	197706	311.66577836997556	4837470	0.47	4503	62	498560	None
GCA_028844265.1	100.0	0.78	Neural Network (Specific Model)	11	0.857	25093	305.563720703125	4372151	0.47	4096	332	76833	None
GCA_028846245.1	100.0	0.16	Neural Network (Specific Model)	11	0.868	57707	311.30795847750863	4659090	0.47	4335	165	163773	None
GCA_028846465.1	100.0	0.77	Neural Network (Specific Model)	11	0.865	201896	308.33844823859954	4939629	0.47	4627	68	596001	None
GCA_028846585.1	100.0	1.82	Neural Network (Specific Model)	11	0.858	94350	314.09128329297823	4527723	0.47	4130	125	265462	None
GCA_028846865.1	100.0	2.67	Neural Network (Specific Model)	11	0.857	124290	316.50682961897917	4619298	0.47	4173	81	391700	None
GCA_028847025.1	100.0	2.67	Neural Network (Specific Model)	11	0.857	114565	316.42672413793105	4620838	0.47	4176	81	391700	None
