qseqid	sseqid	qlen	slen	qstart	qend	sstart	send	length	mismatch	pident	qcovhsp	qcovs	sstrand	evalue	bitscore	biomarker
000104__CP010386_00052|IncFIB	NZ_LIZB01000038.1 Yersinia pestis subsp. microtus bv. Caucasica strain SCPM-O-B-7832 plasmid pMT1 contig00038, whole genome shotgun sequence	1065	43085	1	1065	29574	30638	1065	26	97.559	100.0	100.0	minus	0.0	1823	replicon
CP042519_00001|rep_cluster_2272	NZ_LIZB01000054.1 Yersinia pestis subsp. microtus bv. Caucasica strain SCPM-O-B-7832 plasmid pMT1 contig00054, whole genome shotgun sequence	756	32950	1	756	10892	11647	756	5	99.339	100.0	100.0	plus	0.0	1369	replicon
002101__NC_004564_00056|rep_cluster_645	NZ_LIZB01000120.1 Yersinia pestis subsp. microtus bv. Caucasica strain SCPM-O-B-7832 plasmid pCD1 contig00120, whole genome shotgun sequence	1167	9682	1	1167	7350	8515	1167	10	99.057	100.0	100.0	minus	0.0	2093	replicon
CP001049|IncFII	NZ_LIZB01000122.1 Yersinia pestis subsp. microtus bv. Caucasica strain SCPM-O-B-7832 plasmid pCD1 contig00122, whole genome shotgun sequence	227	8862	1	227	7476	7702	227	0	100.0	100.0	100.0	minus	2.79e-118	420	replicon
NC_021501_00073|MOBF	NZ_LIZB01000054.1 Yersinia pestis subsp. microtus bv. Caucasica strain SCPM-O-B-7832 plasmid pMT1 contig00054, whole genome shotgun sequence	1746	32950	1	1746	2123	7360	1746	33	98.11	100.0	100.0	plus	0.0	3320	relaxase
NC_010157_00072|MOBF	NZ_LIZB01000127.1 Yersinia pestis subsp. microtus bv. Caucasica strain SCPM-O-B-7832 plasmid pCD1 contig00127, whole genome shotgun sequence	152	7607	1	152	7023	7478	152	0	100.0	100.0	100.0	plus	1.57e-101	316	relaxase
NC_009378_00113|MPF_T	NZ_LIZB01000054.1 Yersinia pestis subsp. microtus bv. Caucasica strain SCPM-O-B-7832 plasmid pMT1 contig00054, whole genome shotgun sequence	703	32950	1	703	12	2120	703	0	100.0	100.0	100.0	plus	0.0	1244	mate-pair-formation
NC_021501_00076|MPF_F	NZ_LIZB01000094.1 Yersinia pestis subsp. microtus bv. Caucasica strain SCPM-O-B-7832 contig00094, whole genome shotgun sequence	940	18879	1	928	122	2905	928	38	95.905	99.0	99.0	minus	0.0	1739	mate-pair-formation
NC_006323_00113|MPF_F	NZ_LIZB01000094.1 Yersinia pestis subsp. microtus bv. Caucasica strain SCPM-O-B-7832 contig00094, whole genome shotgun sequence	456	18879	1	456	2908	4275	456	0	100.0	100.0	100.0	minus	0.0	910	mate-pair-formation
NC_006323_00108|MPF_F	NZ_LIZB01000094.1 Yersinia pestis subsp. microtus bv. Caucasica strain SCPM-O-B-7832 contig00094, whole genome shotgun sequence	616	18879	1	616	6078	7925	616	0	100.0	100.0	100.0	minus	0.0	1170	mate-pair-formation
NC_021501_00084|MPF_F	NZ_LIZB01000094.1 Yersinia pestis subsp. microtus bv. Caucasica strain SCPM-O-B-7832 contig00094, whole genome shotgun sequence	209	18879	1	209	7925	8551	209	9	95.694	100.0	100.0	minus	3.44e-127	392	mate-pair-formation
NC_021501_00085|MPF_F	NZ_LIZB01000094.1 Yersinia pestis subsp. microtus bv. Caucasica strain SCPM-O-B-7832 contig00094, whole genome shotgun sequence	330	18879	1	330	8571	9560	330	16	95.152	100.0	100.0	minus	0.0	624	mate-pair-formation
NC_006323_00105|MPF_F	NZ_LIZB01000094.1 Yersinia pestis subsp. microtus bv. Caucasica strain SCPM-O-B-7832 contig00094, whole genome shotgun sequence	215	18879	19	215	9560	10150	197	0	100.0	92.0	92.0	minus	1.38e-129	399	mate-pair-formation
NC_009378_00101|MPF_T	NZ_LIZB01000094.1 Yersinia pestis subsp. microtus bv. Caucasica strain SCPM-O-B-7832 contig00094, whole genome shotgun sequence	876	18879	1	732	11003	13177	732	20	96.311	84.0	100.0	minus	0.0	1412	mate-pair-formation
NC_006323_00097|MPF_F	NZ_LIZB01000094.1 Yersinia pestis subsp. microtus bv. Caucasica strain SCPM-O-B-7832 contig00094, whole genome shotgun sequence	179	18879	1	178	14652	15185	178	0	100.0	99.0	99.0	minus	2.35e-107	334	mate-pair-formation
NC_006323_00096|MPF_F	NZ_LIZB01000094.1 Yersinia pestis subsp. microtus bv. Caucasica strain SCPM-O-B-7832 contig00094, whole genome shotgun sequence	464	18879	1	464	15210	16601	464	0	100.0	100.0	100.0	minus	0.0	840	mate-pair-formation
NC_021501_00096|MPF_F	NZ_LIZB01000094.1 Yersinia pestis subsp. microtus bv. Caucasica strain SCPM-O-B-7832 contig00094, whole genome shotgun sequence	188	18879	1	188	17321	17884	188	2	98.936	100.0	100.0	minus	3.93e-125	385	mate-pair-formation
NC_021501_00097|MPF_F	NZ_LIZB01000094.1 Yersinia pestis subsp. microtus bv. Caucasica strain SCPM-O-B-7832 contig00094, whole genome shotgun sequence	101	18879	1	101	17902	18204	101	2	98.02	100.0	100.0	minus	1.02e-63	205	mate-pair-formation
