accession	species	niche	geo_loc	host	collection_date	gene	gene_name	scope	type	subtype	amr_class	subclass	method	pct_cov	pct_id	year	region	host_group
GCA_025340225.1	Yersinia enterocolitica	U	South Korea: Jeollanam-do		2016-01-02	blaA	class A beta-lactamase BlaA	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTX	100.0	98.98	2016.0	East_Asia	Other/Unknown
GCA_025340225.1	Yersinia enterocolitica	U	South Korea: Jeollanam-do		2016-01-02	vat(F)	streptogramin A O-acetyltransferase Vat(F)	core	AMR	AMR	STREPTOGRAMIN	STREPTOGRAMIN	BLASTX	100.0	98.64	2016.0	East_Asia	Other/Unknown
GCA_028830465.1	Yersinia enterocolitica	H	USA	missing	2023	vat(F)	streptogramin A O-acetyltransferase Vat(F)	core	AMR	AMR	STREPTOGRAMIN	STREPTOGRAMIN	EXACTX	100.0	100.0	2023.0	USA	Other/Unknown
GCA_028830465.1	Yersinia enterocolitica	H	USA	missing	2023	blaA	class A beta-lactamase BlaA	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	EXACTX	100.0	100.0	2023.0	USA	Other/Unknown
GCA_028830465.1	Yersinia enterocolitica	H	USA	missing	2023	blaA	class A beta-lactamase BlaA	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	EXACTX	100.0	100.0	2023.0	USA	Other/Unknown
GCA_028830465.1	Yersinia enterocolitica	H	USA	missing	2023	vat(F)	streptogramin A O-acetyltransferase Vat(F)	core	AMR	AMR	STREPTOGRAMIN	STREPTOGRAMIN	EXACTX	100.0	100.0	2023.0	USA	Other/Unknown
GCA_028830505.1	Yersinia enterocolitica	H	USA	missing	2023	vat(F)	streptogramin A O-acetyltransferase Vat(F)	core	AMR	AMR	STREPTOGRAMIN	STREPTOGRAMIN	BLASTX	100.0	98.19	2023.0	USA	Other/Unknown
GCA_028830505.1	Yersinia enterocolitica	H	USA	missing	2023	blaA	class A beta-lactamase BlaA	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTX	100.0	98.98	2023.0	USA	Other/Unknown
GCA_028830505.1	Yersinia enterocolitica	H	USA	missing	2023	vat(F)	streptogramin A O-acetyltransferase Vat(F)	core	AMR	AMR	STREPTOGRAMIN	STREPTOGRAMIN	BLASTX	100.0	98.19	2023.0	USA	Other/Unknown
GCA_028830505.1	Yersinia enterocolitica	H	USA	missing	2023	blaA	class A beta-lactamase BlaA	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTX	100.0	98.98	2023.0	USA	Other/Unknown
GCA_028830525.1	Yersinia enterocolitica	H	United Kingdom: United Kingdom	Homo sapiens	2023-01	blaA	class A beta-lactamase BlaA	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	EXACTX	100.0	100.0	2023.0	UK	Human
GCA_028830525.1	Yersinia enterocolitica	H	United Kingdom: United Kingdom	Homo sapiens	2023-01	vat(F)	streptogramin A O-acetyltransferase Vat(F)	core	AMR	AMR	STREPTOGRAMIN	STREPTOGRAMIN	EXACTX	100.0	100.0	2023.0	UK	Human
