qseqid	sseqid	qlen	slen	qstart	qend	sstart	send	length	mismatch	pident	qcovhsp	qcovs	sstrand	evalue	bitscore	biomarker
002306__NC_011148_00034|rep_cluster_827	ABKSXF010000048.1 Yersinia enterocolitica strain 1790977 SAMN32301206-rid16382573.denovo.048, whole genome shotgun sequence	1065	36846	1	1065	14164	15228	1065	11	98.967	100.0	100.0	plus	0.0	1906	replicon
CP017588_00047|rep_cluster_2203	ABKSXF010000074.1 Yersinia enterocolitica strain 1790977 SAMN32301206-rid16382573.denovo.074, whole genome shotgun sequence	867	18230	39	856	2727	3544	821	158	80.024	94.0	94.0	minus	1.06e-172	603	replicon
CP001049|IncFII	ABKSXF010000074.1 Yersinia enterocolitica strain 1790977 SAMN32301206-rid16382573.denovo.074, whole genome shotgun sequence	227	18230	1	227	3574	3800	227	2	99.119	100.0	100.0	minus	6.07e-115	409	replicon
002101__NC_004564_00056|rep_cluster_645	ABKSXF010000119.1 Yersinia enterocolitica strain 1790977 SAMN32301206-rid16382573.denovo.122, whole genome shotgun sequence	1167	3891	1	1167	1610	2776	1167	7	99.4	100.0	100.0	plus	0.0	2117	replicon
KU963390_00048|MOBP	ABKSXF010000048.1 Yersinia enterocolitica strain 1790977 SAMN32301206-rid16382573.denovo.048, whole genome shotgun sequence	1201	36846	1	1201	1145	4747	1201	49	95.92	100.0	100.0	minus	0.0	2389	relaxase
NC_015475_00074|MOBF	ABKSXF010000074.1 Yersinia enterocolitica strain 1790977 SAMN32301206-rid16382573.denovo.074, whole genome shotgun sequence	149	18230	1	149	7049	7495	149	1	99.329	100.0	100.0	minus	7.33e-96	299	relaxase
NC_017903_00051|MPF_T	ABKSXF010000048.1 Yersinia enterocolitica strain 1790977 SAMN32301206-rid16382573.denovo.048, whole genome shotgun sequence	350	36846	1	350	11755	12804	350	5	98.571	100.0	100.0	minus	0.0	647	mate-pair-formation
NC_011148_00028|MPF_T	ABKSXF010000048.1 Yersinia enterocolitica strain 1790977 SAMN32301206-rid16382573.denovo.048, whole genome shotgun sequence	841	36846	1	821	17881	20343	821	2	99.756	98.0	98.0	plus	0.0	1676	mate-pair-formation
NC_011148_00026|MPF_T	ABKSXF010000048.1 Yersinia enterocolitica strain 1790977 SAMN32301206-rid16382573.denovo.048, whole genome shotgun sequence	263	36846	1	263	21295	22083	263	0	100.0	100.0	100.0	plus	5.8e-159	486	mate-pair-formation
NC_011148_00025|MPF_T	ABKSXF010000048.1 Yersinia enterocolitica strain 1790977 SAMN32301206-rid16382573.denovo.048, whole genome shotgun sequence	262	36846	1	262	22108	22893	262	0	100.0	100.0	100.0	plus	1.66e-178	542	mate-pair-formation
NC_011148_00022|MPF_T	ABKSXF010000048.1 Yersinia enterocolitica strain 1790977 SAMN32301206-rid16382573.denovo.048, whole genome shotgun sequence	673	36846	1	673	25275	27293	673	3	99.554	100.0	100.0	plus	0.0	1266	mate-pair-formation
