accession	organism_name	biosample	assembly_level	source_database	refseq_category	geo_loc	isolation_source	host	collection_date	serovar	strain_x	host_disease	lat_lon	total_length	contig_n50	scaffold_n50	num_contigs	gc_percent	checkm_completeness	checkm_contamination	species	level_rank	db_rank	source_type	strain_y	isolate	sample_name	collected_by	identified_by	sequencing_tech	assembly_method	bioproject	niche	confidence	matched_term
GCF_000511675.1	Yersinia pseudotuberculosis NBRC 105692	SAMD00041801	Contig	SOURCE_DATABASE_REFSEQ		not applicable			not applicable		NBRC 105692		not applicable	4506724	57555	57555	142	47.5	98.32	0.76	Yersinia pseudotuberculosis	3	0		NBRC 105692		NBRC 105692			454 GS-FLX Titanium; Illumina HiSeq 1000	Newbler v. 2.6	PRJDB274	U	low	no_information
GCF_001598735.1	Yersinia enterocolitica subsp. enterocolitica NBRC 105693	SAMD00046906	Contig	SOURCE_DATABASE_REFSEQ		missing			missing		NBRC 105693		missing	4472130	188210	188210	60	47.5	96.49	1.04	Yersinia enterocolitica	3	0		NBRC 105693		NBRC 105693			454 GS-FLX Titanium; Illumina HiSeq 1000	newbler v. 3.0	PRJDB273	U	low	no_information
GCF_030294965.1	Yersinia pseudotuberculosis	SAMD00298285	Complete Genome	SOURCE_DATABASE_REFSEQ		Japan			2021		72344		35.7 N 139.7 E	4923328	4848496	4848496	2	47.5	99.28	1.1	Yersinia pseudotuberculosis	0	0		72344		Yersinia pseudotuberculosis 72344			Oxford Nanopore Technology MinION; illumina MiSeq	CLC Genomics Workbench v. 21.0.3	PRJDB11549	U	low	no_information
GCA_029890075.1	Yersinia enterocolitica subsp. palearctica	SAMD00499917	Contig	SOURCE_DATABASE_GENBANK		Japan:Aichi	stool	Homo sapiens	2019-08-06		JBCDACJ-19-0056	missing	35.180295 N 136.906712 E	4499277	46224	46224	208	47			Yersinia enterocolitica	3	1		JBCDACJ-19-0056		JBCDACJ-19-0056	AMRRC, NIID		ILLUMINA	SKESA v. 2.2	PRJNA514245	H	high	homo sapiens
GCA_050445005.1	Yersinia enterocolitica	SAMD00590493	Contig	SOURCE_DATABASE_GENBANK		Japan	Homo sapiens		2012		H_YE		missing	4581833	132294	132294	75	47			Yersinia enterocolitica	3	1		H_YE		HIPHI16707	missing		ILLUMINA	SKESA v. 2.2	PRJNA514245	H	high	homo sapiens
GCA_050442745.1	Yersinia enterocolitica	SAMD00590494	Contig	SOURCE_DATABASE_GENBANK		Japan	Homo sapiens		2013		Miyagi_YE1		missing	4472469	85121	85121	95	47			Yersinia enterocolitica	3	1		Miyagi_YE1		2346	missing		ILLUMINA	SKESA v. 2.2	PRJNA514245	H	high	homo sapiens
GCA_050442725.1	Yersinia enterocolitica	SAMD00590495	Contig	SOURCE_DATABASE_GENBANK		Japan	Homo sapiens		2014		Miyagi_YE2		missing	4856510	360757	360757	35	47			Yersinia enterocolitica	3	1		Miyagi_YE2		2773	missing		ILLUMINA	SKESA v. 2.2	PRJNA514245	H	high	homo sapiens
GCA_050469845.1	Yersinia enterocolitica	SAMD00590496	Contig	SOURCE_DATABASE_GENBANK		Japan	Homo sapiens		2016		Miyagi_YE3		missing	4602078	97317	97317	102	47			Yersinia enterocolitica	3	1		Miyagi_YE3		3304	missing		ILLUMINA	SKESA v. 2.2	PRJNA514245	H	high	homo sapiens
GCA_050469825.1	Yersinia enterocolitica	SAMD00590497	Contig	SOURCE_DATABASE_GENBANK		Japan	Homo sapiens		2019		Miyagi_YE4		missing	4842220	581571	581571	28	47			Yersinia enterocolitica	3	1		Miyagi_YE4		4301	missing		ILLUMINA	SKESA v. 2.2	PRJNA514245	H	high	homo sapiens
GCA_050442705.1	Yersinia enterocolitica	SAMD00590498	Contig	SOURCE_DATABASE_GENBANK		Japan	Homo sapiens		2019		Miyagi_YE6		missing	4513815	132294	132294	72	47			Yersinia enterocolitica	3	1		Miyagi_YE6		6234	missing		ILLUMINA	SKESA v. 2.2	PRJNA514245	H	high	homo sapiens
