accession	species	niche	n_plasmid_contigs	has_plasmid	rep_types	mobility_types	total_plasmid_bp
GCF_000511675.1	Yersinia pseudotuberculosis	U	0	0			0
GCF_001598735.1	Yersinia enterocolitica	U	0	0			0
GCF_030294965.1	Yersinia pseudotuberculosis	U	1	1	IncFII,rep_cluster_645	-	74832
GCA_029890075.1	Yersinia enterocolitica	H	4	1	rep_cluster_645|-|IncFII,rep_cluster_2203	-	67276
GCA_050445005.1	Yersinia enterocolitica	H	1	1	IncFII,rep_cluster_645	-	66366
GCA_050442745.1	Yersinia enterocolitica	H	0	0			0
GCA_050442725.1	Yersinia enterocolitica	H	1	1	rep_cluster_1304	-	35925
GCA_050469845.1	Yersinia enterocolitica	H	2	1	IncFII,rep_cluster_2203,rep_cluster_645|-	-	73915
GCA_050442705.1	Yersinia enterocolitica	H	0	0			0
GCA_050446075.1	Yersinia enterocolitica	H	0	0			0
GCA_050442685.1	Yersinia enterocolitica	H	0	0			0
GCA_050469765.1	Yersinia enterocolitica	H	0	0			0
GCA_050508795.1	Yersinia enterocolitica	H	0	0			0
GCA_050442665.1	Yersinia enterocolitica	A	4	1	rep_cluster_645|-|IncFII,rep_cluster_2203	-	68011
GCA_050440805.1	Yersinia enterocolitica	A	0	0			0
GCA_050442645.1	Yersinia enterocolitica	A	0	0			0
GCA_050440385.1	Yersinia enterocolitica	A	0	0			0
GCA_050469715.1	Yersinia enterocolitica	A	0	0			0
GCA_050439505.1	Yersinia enterocolitica	H	0	0			0
GCA_050442605.1	Yersinia enterocolitica	H	4	1	rep_cluster_645|-|IncFII,rep_cluster_2203	-	67945
GCA_050444985.1	Yersinia enterocolitica	H	0	0			0
GCA_050442625.1	Yersinia enterocolitica	H	0	0			0
GCA_050469675.1	Yersinia enterocolitica	H	0	0			0
GCA_050440365.1	Yersinia enterocolitica	H	0	0			0
GCA_050440345.1	Yersinia enterocolitica	H	4	1	rep_cluster_645|-|IncFII,rep_cluster_2203	-	67908
GCA_050442585.1	Yersinia enterocolitica	H	0	0			0
GCA_050440325.1	Yersinia enterocolitica	H	0	0			0
GCA_050444965.1	Yersinia enterocolitica	A	0	0			0
GCA_050442565.1	Yersinia enterocolitica	H	0	0			0
GCA_050442545.1	Yersinia enterocolitica	H	0	0			0
GCA_050469625.1	Yersinia enterocolitica	H	0	0			0
GCA_050442525.1	Yersinia enterocolitica	H	0	0			0
GCA_050440305.1	Yersinia enterocolitica	H	0	0			0
GCA_050440285.1	Yersinia enterocolitica	H	0	0			0
GCA_050469525.1	Yersinia enterocolitica	H	0	0			0
GCA_050440265.1	Yersinia enterocolitica	H	4	1	rep_cluster_645|-|IncFII,rep_cluster_2203	-	67633
GCA_050469505.1	Yersinia enterocolitica	H	4	1	rep_cluster_645|-|IncFII,rep_cluster_2203	-	68341
GCA_050439485.1	Yersinia enterocolitica	H	5	1	rep_cluster_645|-|IncFII,rep_cluster_2203	-	34683
GCA_050469425.1	Yersinia enterocolitica	H	4	1	rep_cluster_645|-|IncFII,rep_cluster_2203	-	67639
GCA_050439465.1	Yersinia enterocolitica	H	3	1	rep_cluster_645|IncFII,rep_cluster_2203|-	-	68370
GCA_050440245.1	Yersinia enterocolitica	H	0	0			0
GCA_050442485.1	Yersinia enterocolitica	H	0	0			0
GCA_050442465.1	Yersinia enterocolitica	H	0	0			0
GCA_050444905.1	Yersinia enterocolitica	H	4	1	rep_cluster_645|-|IncFII,rep_cluster_2203	-	67617
GCA_050442445.1	Yersinia enterocolitica	H	4	1	rep_cluster_645|-|IncFII,rep_cluster_2203	-	67650
GCA_050469415.1	Yersinia enterocolitica	H	4	1	rep_cluster_645|-|IncFII,rep_cluster_2203	-	67658
GCA_050442425.1	Yersinia enterocolitica	H	0	0			0
GCA_050469385.1	Yersinia enterocolitica	H	0	0			0
GCA_050469245.1	Yersinia enterocolitica	H	4	1	rep_cluster_645|-	-	71674
GCA_050439445.1	Yersinia enterocolitica	H	0	0			0
GCA_050469165.1	Yersinia enterocolitica	H	0	0			0
GCA_050442405.1	Yersinia enterocolitica	H	0	0			0
GCA_050443065.1	Yersinia enterocolitica	H	5	1	rep_cluster_645|-|IncFII,rep_cluster_2203	-	68134
GCA_050469185.1	Yersinia enterocolitica	H	0	0			0
GCF_036512675.1	Yersinia pseudotuberculosis	U	1	1	IncFII,rep_cluster_645	-	119281
