genome	n_genes_called	n_genes_mapped	n_contigs	taxonomic_level	proportion_genes_retained_in_major_clades	genes_retained_index	clade_separation_score	contamination_portion	n_effective_surplus_clades	mean_hit_identity	reference_representation_score	pass.GUNC
GCA_002083295.2	4996	4921	24	kingdom	1.0	0.98	0.0	0.0	0.0	0.95	0.94	True
GCA_003074675.1	7585	7245	4461	kingdom	1.0	0.96	0.0	0.0	0.0	0.98	0.94	True
GCA_006376535.2	4563	4531	155	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.98	True
GCA_008630375.2	5232	5162	313	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
GCA_016102555.1	4635	4585	726	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.98	True
GCA_016102665.1	4605	4566	382	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.98	True
GCA_017315285.1	5565	5522	3	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
GCA_025340225.1	4444	4377	1	kingdom	1.0	0.98	0.0	0.0	0.0	0.94	0.93	True
GCA_028830465.1	4155	4129	107	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.98	True
GCA_028830505.1	4341	4273	82	kingdom	1.0	0.98	0.0	0.0	0.0	0.95	0.93	True
GCA_028830525.1	4101	4077	154	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.99	True
GCA_028830545.1	4146	4120	160	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.98	True
GCA_028830565.1	4044	4011	332	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.98	True
GCA_028830585.1	4450	4397	74	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
GCA_028830605.1	4301	4264	137	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
GCA_028830625.1	4144	4101	179	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
GCA_028830645.1	4137	4110	194	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.98	True
GCA_028830665.1	4300	4255	31	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
GCA_028830685.1	4079	4055	162	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.99	True
GCA_028830705.1	4414	4361	46	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_028830725.1	4071	4042	312	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.98	True
GCA_028830745.1	3683	3626	64	kingdom	1.0	0.98	0.0	0.0	0.0	0.97	0.95	True
GCA_028830765.1	4159	4123	158	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
GCA_028830825.1	4137	4111	108	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.98	True
