sample_id	num_contigs	size	gc	md5	rep_type(s)	rep_type_accession(s)	relaxase_type(s)	relaxase_type_accession(s)	mpf_type	mpf_type_accession(s)	orit_type(s)	orit_accession(s)	predicted_mobility	mash_nearest_neighbor	mash_neighbor_distance	mash_neighbor_identification	primary_cluster_id	secondary_cluster_id	predicted_host_range_overall_rank	predicted_host_range_overall_name	observed_host_range_ncbi_rank	observed_host_range_ncbi_name	reported_host_range_lit_rank	reported_host_range_lit_name	associated_pmid(s)
GCA_028832325.1.fna:AA996	6	72500	0.44467586206896553	63d0b9158caa3ab8dd3080c4fe8e9bdf	IncFII,rep_cluster_2203,rep_cluster_645	CP001049,CP017588_00047,002101__NC_004564_00056	MOBF	NC_015475_00074	-	-	-	-	mobilizable	NC_015475	0.00587519	Yersinia enterocolitica subsp. palearctica 105.5R(r)	AA996	AJ511	genus	Yersinia	genus	Yersinia	-	-	-
GCA_028832325.1.fna:AA338	13	51473	0.5151050065082665	1102a114d43ff170cd71b6502ad43763	IncFIA,IncFIC	MK878891_00042,AY458016	MOBF,MOBF,MOBP	NC_011980_00044,MF535908_00027,NC_021819_00066	MPF_F	NC_017639_00094,NC_019094_00090,NC_010409_00124,NC_019037_00043,NC_022651_00077,NC_008460_00107,NC_007675_00027,NC_017639_00100,NC_018966_00040,NC_019094_00068,08-5333_00200	MOBP	AP014804	conjugative	CP015072	0.0139988	Escherichia coli	AA338	AI281	order	Enterobacterales	order	Enterobacterales	-	-	-
GCA_028832325.1.fna:AA161	2	7933	0.482163116097315	683d00b3a14356da372cfc0053a18146	-	-	MOBP	NC_023328_00003	-	-	MOBP	NZ_CP016533	mobilizable	NC_006881	0.00445566	Escherichia coli	AA161	AH807	family	Enterobacteriaceae	family	Enterobacteriaceae	-	-	-
GCA_028832325.1.fna:AB595	2	12141	0.5246684787085084	d61b8ec239799dd4b5841e5cb342b0e7	rep_cluster_2335,rep_cluster_2358	KU302809_00001,CP000974_00005	-	-	-	-	MOBP,MOBP	AJ001708,AJ001708	mobilizable	LT985316	0.000167546	Escherichia coli	AB595	AK439	multi-phylla	Actinomycetota,Bacillota,Pseudomonadota	multi-phylla	Actinomycetota,Bacillota,Pseudomonadota	phylum	Pseudomonadota	24096417; 20008783
GCA_028832325.1.fna:AA579	1	4074	0.5159548355424645	87696064e8274127adcd942a44880235	rep_cluster_1778	001211__AP017616_00002	MOBQ	NC_011411_00002	-	-	MOBQ,MOBQ	NC_010672,NC_002126	mobilizable	CP033765	0.000264084	Escherichia coli	AA579	AI802	family	Enterobacteriaceae	family	Enterobacteriaceae	-	-	-
GCA_028832325.1.fna:AA153	1	3768	0.5127388535031847	3153d178fd1582dcf8d11f7f9949a7b7	-	-	MOBP,MOBP	NC_017321_00002,NC_022662_00003	-	-	MOBP	CP010136	mobilizable	CP034063	0.00146992	Shigella flexneri	AA153	AH796	genus	Shigella	genus	Shigella	-	-	-
GCA_028832325.1.fna:AD480	1	3179	0.45077068260459263	1e0dd6fba5bc6b946d39a45a83aabb16	rep_cluster_2350	CP035723_00002	-	-	-	-	MOBF,MOBP,MOB_unknown	KT950740,NC_023324,NC_019986	mobilizable	CP034064	0.00170624	Shigella flexneri	AD480	AN050	multi-phylla	Actinomycetota,Bacillota,Bacteroidota,Pseudomonadota	multi-phylla	Actinomycetota,Bacillota,Bacteroidota,Pseudomonadota	genus	Escherichia	6263753; 17122402; 26802429
GCA_028832325.1.fna:AA190	4	7080	0.5163841807909605	d773af408c7eda6cfd38c6840417d372	-	-	-	-	-	-	-	-	non-mobilizable	CP045020	0.0543589	Klebsiella pneumoniae subsp. pneumoniae	AA190	-	family	Enterobacteriaceae	family	Enterobacteriaceae	-	-	-
GCA_028832325.1.fna:AA670	1	2690	0.462453531598513	08c6bc91960a3341d03d4018d4f102d9	rep_cluster_2350	CP041342_00001	MOBF	CP019897	-	-	MOB_unknown	NC_011407	mobilizable	CP038000	0.00105797	Shigella sonnei	AA670	AI947	multi-phylla	Actinomycetota,Bacillota,Bacteroidota,Pseudomonadota	multi-phylla	Actinomycetota,Bacillota,Bacteroidota,Pseudomonadota	genus	Escherichia	6263753; 17122402; 26802429
GCA_028832325.1.fna:AB685	1	1549	0.5100064557779213	f2817cccf1b3d5cdce045e82884540a5	Col(MG828)	NC_008486	-	-	-	-	MOBP	CP001386	mobilizable	CP030338	0.00113443	Escherichia coli	AB685	AK562	order	Enterobacterales	order	Enterobacterales	genus	Escherichia	30761100
