#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
NZ_ADRU01000067.1_13 -          ATP-synt_ab          PF00006.32   8.1e-91  301.4   0.1   1.1e-90  301.0   0.1   1.2   1   0   0   1   1   1   1 -
NZ_ADRU01000407.1_10 -          ATP-synt_ab          PF00006.32   1.4e-82  274.5   0.2   1.9e-82  274.1   0.2   1.2   1   0   0   1   1   1   1 -
NZ_ADRU01000011.1_4  -          ATP-synt_ab          PF00006.32   2.4e-82  273.7   0.2   7.6e-82  272.1   0.2   1.8   2   0   0   2   2   2   1 -
NZ_ADRU01000011.1_2  -          ATP-synt_ab          PF00006.32     3e-71  237.4   0.0   4.3e-71  236.9   0.0   1.2   1   0   0   1   1   1   1 -
NZ_ADRU01000640.1_1  -          ATP-synt_ab          PF00006.32   2.9e-55  185.2   0.0   3.5e-55  184.9   0.0   1.1   1   0   0   1   1   1   1 -
NZ_ADRU01000200.1_3  -          ATP-synt_ab          PF00006.32   2.1e-52  175.8   0.0   3.1e-52  175.3   0.0   1.2   1   0   0   1   1   1   1 -
NZ_ADRU01000994.1_1  -          ATP-synt_ab          PF00006.32   1.9e-27   94.3   0.1   2.4e-27   94.0   0.1   1.1   1   0   0   1   1   1   1 -
NZ_ADRU01000556.1_1  -          ATP-synt_ab          PF00006.32   2.4e-27   94.0   0.1   3.3e-27   93.5   0.1   1.2   1   0   0   1   1   1   1 -
NZ_ADRU01000055.1_4  -          ATP-synt_ab          PF00006.32   5.2e-27   92.9   0.5   8.9e-27   92.1   0.5   1.4   1   0   0   1   1   1   1 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      07_markers/hmm_profiles/atpD.hmm
# Target file:     /tmp/tmp9_v5lkkf.faa
# Option settings: hmmsearch --tblout 07_markers/hmmsearch/atpD/GCF_000324685.1.tbl --noali -E 1e-10 --cpu 4 07_markers/hmm_profiles/atpD.hmm /tmp/tmp9_v5lkkf.faa 
# Current dir:     /home/labinfo/Escritorio/yersinia-pangenomics
# Date:            Thu May 14 18:55:38 2026
# [ok]
